battery,feature,horizon,metric,block_length,bootstrap_n,estimate,ci_low,ci_high,n
CS2_35,HF7,1,degradation_spearman,30,1000,-0.08260772348919722,-0.1902690821514182,0.05556276350265238,875
CS2_35,HF7,1,partial_pearson_controlling_SOH,30,1000,0.4418843434514005,0.2952323415677198,0.625674604893858,875
CS2_35,HF8,1,degradation_pearson,10,1000,0.030884022620496547,-0.02576673039055459,0.0855441572214741,851
CS2_35,HF8,1,degradation_spearman,10,1000,0.0533349708054769,-0.03856002707526524,0.13939329870217212,851
CS2_35,HF8,1,partial_pearson_controlling_SOH,10,1000,0.06301312681334788,0.002375676184204585,0.1357205421972385,851
CS2_35,HF8,1,degradation_pearson,20,1000,0.02985762514640345,-0.034467245218702446,0.08928814494560633,851
CS2_35,HF8,1,degradation_spearman,20,1000,0.04855211624596789,-0.06406974235454659,0.14800635984077495,851
CS2_35,HF8,1,partial_pearson_controlling_SOH,20,1000,0.06532868554067431,0.002436073461293161,0.1310390965083231,851
CS2_35,HF8,1,degradation_pearson,30,1000,0.0291584739737063,-0.0302033488170464,0.0831928255102288,851
CS2_35,HF8,1,degradation_spearman,30,1000,0.045283734365600695,-0.0852462332964413,0.15430066740417986,851
CS2_35,HF8,1,partial_pearson_controlling_SOH,30,1000,0.0665085470214804,0.006524093782244687,0.11780099731590707,851
CS2_35,HF1,4,degradation_pearson,10,1000,-0.07304068094720556,-0.14192697980855457,-0.00029593636877729864,872
CS2_35,HF1,4,degradation_spearman,10,1000,-0.0917817058220893,-0.21247047029010113,0.03582268918788713,872
CS2_35,HF1,4,partial_pearson_controlling_SOH,10,1000,0.43382218787652516,0.26766991864289713,0.6167961111961223,872
CS2_35,HF1,4,degradation_pearson,20,1000,-0.07148137025083642,-0.14153411696178025,-0.007186802405158999,872
