battery,feature,horizon,metric,value,rmse_value,mae_without,mae_full,alpha,n_test
CS2_38,HF1,4,MAE_minus_full,-0.0008331209956536738,3.418020628723206e-05,0.015317011259611553,0.016150132255265227,10.0,1024
CS2_38,HF2,4,MAE_minus_full,0.0005251251844478576,0.00014187213643322705,0.016675257439713084,0.016150132255265227,100.0,1024
CS2_38,HF3,4,MAE_minus_full,0.0008524207524709046,0.002167356954355687,0.01700255300773613,0.016150132255265227,100.0,1024
CS2_38,HF4,4,MAE_minus_full,9.884023071757633e-05,6.850512913619128e-05,0.016248972485982803,0.016150132255265227,100.0,1024
CS2_38,HF5,4,MAE_minus_full,-2.1169309443042073e-06,-1.1330807849485591e-06,0.016148015324320922,0.016150132255265227,100.0,1024
CS2_38,HF6,4,MAE_minus_full,0.0003177958548741429,8.673965043053816e-05,0.01646792811013937,0.016150132255265227,100.0,1024
CS2_38,HF7,4,MAE_minus_full,-0.0008833246080574876,-1.597017922477101e-05,0.015266807647207739,0.016150132255265227,10.0,1024
CS2_38,HF8,4,MAE_minus_full,0.00014156350087072764,2.576594729185311e-05,0.016291695756135954,0.016150132255265227,100.0,1024
CS2_35,SOH,8,MAE_minus_full,0.0003066186081640103,0.0016345300031124221,0.016498224039331932,0.016191605431167922,0.01,874
CS2_35,HF1,8,MAE_minus_full,-0.0002959149958274565,0.00026243596824337273,0.015895690435340466,0.016191605431167922,1.0,874
CS2_35,HF2,8,MAE_minus_full,-0.0008508345920334396,0.00040891545721731537,0.015340770839134482,0.016191605431167922,10.0,874
CS2_35,HF3,8,MAE_minus_full,0.00037051159511435755,0.0008847283189326108,0.01656211702628228,0.016191605431167922,100.0,874
CS2_35,HF4,8,MAE_minus_full,-0.0001232035413046735,-1.1668993545807527e-06,0.01606840188986325,0.016191605431167922,0.01,874
CS2_35,HF5,8,MAE_minus_full,-6.598958714021039e-05,4.176851174722551e-07,0.01612561584402771,0.016191605431167922,0.01,874
CS2_35,HF6,8,MAE_minus_full,0.00032224588016018657,6.457300669751587e-05,0.01651385131132811,0.016191605431167922,0.01,874
CS2_35,HF7,8,MAE_minus_full,-0.0003626351499516865,0.0004223978015080246,0.015828970281216236,0.016191605431167922,1.0,874
CS2_35,HF8,8,MAE_minus_full,-0.0004287235933650782,6.20409998003113e-05,0.015762881837802844,0.016191605431167922,0.01,874
CS2_36,SOH,8,MAE_minus_full,0.0003583350916741765,0.0008410637049152542,0.0178482212419528,0.017489886150278623,0.1,965
CS2_36,HF1,8,MAE_minus_full,-2.8863116186488014e-05,0.00025591052526489216,0.017461023034092134,0.017489886150278623,10.0,965
CS2_36,HF2,8,MAE_minus_full,0.00020780076032572356,0.0006113573752066226,0.017697686910604346,0.017489886150278623,100.0,965
CS2_36,HF3,8,MAE_minus_full,0.0008733115307052348,0.0016887577091083059,0.018363197680983857,0.017489886150278623,100.0,965
CS2_36,HF4,8,MAE_minus_full,-2.9450400239570962e-05,-9.556170520598484e-06,0.01746043575003905,0.017489886150278623,0.01,965
CS2_36,HF5,8,MAE_minus_full,2.0986174607447172e-06,6.09114754593354e-07,0.017491984767739367,0.017489886150278623,0.01,965
CS2_36,HF6,8,MAE_minus_full,9.851938167506832e-05,0.00038339078127910126,0.01758840553195369,0.017489886150278623,10.0,965
CS2_36,HF7,8,MAE_minus_full,0.00010554556607067153,0.00036361532663202467,0.017595431716349294,0.017489886150278623,10.0,965
CS2_36,HF8,8,MAE_minus_full,-0.00014084414471847786,0.00021476502923108848,0.017349042005560145,0.017489886150278623,0.01,965
CS2_37,SOH,8,MAE_minus_full,-0.00015767553006204062,-0.00019122035777133228,0.015454274256302723,0.015611949786364763,0.1,1030
CS2_37,HF1,8,MAE_minus_full,-0.000576862809533462,-0.0006679042842081956,0.015035086976831301,0.015611949786364763,10.0,1030
CS2_37,HF2,8,MAE_minus_full,0.00020036179996488386,0.00028469090452874074,0.015812311586329647,0.015611949786364763,100.0,1030
CS2_37,HF3,8,MAE_minus_full,0.0010288374363697488,0.00266509026120796,0.016640787222734512,0.015611949786364763,100.0,1030
CS2_37,HF4,8,MAE_minus_full,-9.84125911876986e-06,-1.5137654515828824e-05,0.015602108527245993,0.015611949786364763,100.0,1030
CS2_37,HF5,8,MAE_minus_full,-4.644975930721135e-05,-1.3014508189398977e-06,0.015565500027057552,0.015611949786364763,100.0,1030
CS2_37,HF6,8,MAE_minus_full,-0.0001514354024782453,3.509917202722951e-05,0.015460514383886518,0.015611949786364763,100.0,1030
CS2_37,HF7,8,MAE_minus_full,-0.0005438275173787668,-0.0005708048738678126,0.015068122268985996,0.015611949786364763,10.0,1030
CS2_37,HF8,8,MAE_minus_full,2.5641816558801336e-05,2.182280321861435e-05,0.015637591602923565,0.015611949786364763,100.0,1030
