feature,horizon,metric,mean,median,std,count
HF5,12,spearman,0.8362681499204363,0.8324537158084304,0.06082821657033364,4
HF5,16,pearson,0.8347814725699063,0.8273637669690392,0.04637890057054179,4
HF5,16,spearman,0.84109241946773,0.8415147306609012,0.058980543616085596,4
HF5,24,pearson,0.802869077396434,0.8010372364659655,0.02018971881207334,4
HF5,24,spearman,0.8263119007028052,0.8226030231844249,0.06525944666592746,4
HF5,32,pearson,0.8034154686004431,0.8048907554858944,0.022548561275893223,4
HF5,32,spearman,0.8234880407811592,0.8169062665135552,0.06349253878514177,4
HF5,48,pearson,0.7791657781670509,0.7977817248186934,0.057988720908021416,4
HF5,48,spearman,0.8233640244656878,0.8188139247992343,0.07564940541145332,4
HF5,64,pearson,0.7671430300436533,0.7754801766408733,0.053978890881217725,4
HF5,64,spearman,0.8043397482741609,0.7922931064457679,0.08151854247504613,4
HF6,1,pearson,0.7558477638851191,0.7476473832848385,0.0284727619937232,4
HF6,1,spearman,0.8417034538845765,0.8595427482809115,0.04300071452273007,4
HF6,4,pearson,0.7370007663662638,0.7318746171372335,0.07557795215216088,4
HF6,4,spearman,0.8177526563560691,0.8395376112495365,0.053554910521047334,4
HF6,8,pearson,0.7303691913848023,0.720772891708614,0.029303711792339066,4
HF6,8,spearman,0.8194527825844853,0.8392513695094558,0.04566367199486017,4
HF6,12,pearson,0.6927700033224238,0.6909421782375593,0.04118522288722048,4
HF6,12,spearman,0.794796799887251,0.8131890665108048,0.05610396593125584,4
HF6,16,pearson,0.7232803294001015,0.7176843654727119,0.05930725179444086,4
HF6,16,spearman,0.7994038190653215,0.8205304213189588,0.0573069503450919,4
HF6,24,pearson,0.6873324154427558,0.6837958498109249,0.02723920693845826,4
HF6,24,spearman,0.7876392954372442,0.8045286522572684,0.061328206122350785,4
HF6,32,pearson,0.6818729049234957,0.6870960711114861,0.029557600181926425,4
HF6,32,spearman,0.7824689652265653,0.7986073355444224,0.0626780371037254,4
HF6,48,pearson,0.6539151210206855,0.6793629057595449,0.055683209773363516,4
HF6,48,spearman,0.7880290428999075,0.8099321258162424,0.06692294671367938,4
HF6,64,pearson,0.6400447121231483,0.6560857676112155,0.05078422887151394,4
HF6,64,spearman,0.7696412922234899,0.7855783667527516,0.06803059355169895,4
HF7,1,pearson,0.9730618994165198,0.972764836417697,0.006790939595250139,4
HF7,1,spearman,0.9707337653222033,0.9707641287757837,0.005498675122065822,4
HF7,4,pearson,0.9708259751240571,0.970521045140003,0.007679623031261833,4
HF7,4,spearman,0.9650747900266995,0.9653179422919838,0.007280249036966134,4
HF7,8,pearson,0.9717873091287996,0.9725033382910071,0.006373617801141012,4
HF7,8,spearman,0.9662105226976918,0.9663672409128279,0.007484826683035678,4
HF7,12,pearson,0.968808838578901,0.9682307197084519,0.007063168549633165,4
