battery,feature,horizon,metric,value,n
CS2_38,HF5,1,pearson,0.8784256705109549,1027
CS2_38,HF6,1,pearson,0.7603123482614722,1027
CS2_38,HF7,1,pearson,0.9675018992242645,1027
CS2_38,HF8,1,pearson,-0.7522940615078694,1027
CS2_38,SOH,4,pearson,0.9473909896212256,1024
CS2_38,HF1,4,pearson,0.9634459314721947,1024
CS2_38,HF2,4,pearson,-0.6831116197759703,1024
CS2_38,HF3,4,pearson,0.16105020752337387,1024
CS2_38,HF4,4,pearson,0.84956227812498,1024
CS2_38,HF5,4,pearson,0.7819112927828928,1024
CS2_38,HF6,4,pearson,0.6593482270852391,1024
CS2_38,HF7,4,pearson,0.9633264927931369,1024
CS2_38,HF8,4,pearson,-0.7515183508420662,1024
CS2_38,SOH,8,pearson,0.9504747818324195,1020
CS2_38,HF1,8,pearson,0.9636660960889645,1020
CS2_38,HF2,8,pearson,-0.6844313991426683,1020
CS2_38,HF3,8,pearson,0.15760483527914812,1020
CS2_38,HF4,8,pearson,0.9261082678925557,1020
CS2_38,HF5,8,pearson,0.8593659961029579,1020
CS2_38,HF6,8,pearson,0.7293751227345355,1020
CS2_38,HF7,8,pearson,0.9635820481242763,1020
CS2_38,HF8,8,pearson,-0.7542010617434304,1020
CS2_38,SOH,12,pearson,0.944590444234733,1016
CS2_38,HF1,12,pearson,0.9614501386704849,1016
CS2_38,HF2,12,pearson,-0.6896793574844455,1016
CS2_38,HF3,12,pearson,0.15367784449269942,1016
CS2_38,HF4,12,pearson,0.849871227931593,1016
CS2_38,HF5,12,pearson,0.779627383329589,1016
CS2_38,HF6,12,pearson,0.64569953194395,1016
CS2_38,HF7,12,pearson,0.961316515384164,1016
CS2_38,HF8,12,pearson,-0.7533265038077097,1016
CS2_38,SOH,16,pearson,0.9429806513231767,1012
CS2_38,HF1,16,pearson,0.9608765542494859,1012
CS2_38,HF2,16,pearson,-0.6950455249383253,1012
CS2_38,HF3,16,pearson,0.14995875483442792,1012
CS2_38,HF4,16,pearson,0.8556237532328976,1012
CS2_38,HF5,16,pearson,0.7872395616819189,1012
CS2_38,HF6,16,pearson,0.6607917435394839,1012
CS2_38,HF7,16,pearson,0.9607588192804588,1012
CS2_38,HF8,16,pearson,-0.756532732714114,1012
CS2_38,SOH,24,pearson,0.9407015617046557,1004
CS2_38,HF1,24,pearson,0.9612271432999724,1004
CS2_38,HF2,24,pearson,-0.6980159244785608,1004
CS2_38,HF3,24,pearson,0.124842625176651,1004
CS2_38,HF4,24,pearson,0.8556823765602186,1004
CS2_38,HF5,24,pearson,0.7831503686921095,1004
CS2_38,HF6,24,pearson,0.6584719426647808,1004
CS2_38,HF7,24,pearson,0.961038128410346,1004
CS2_38,HF8,24,pearson,-0.7583751501153675,1004
CS2_38,SOH,32,pearson,0.9358601186638937,996
CS2_38,HF1,32,pearson,0.9547156238641155,996
CS2_38,HF2,32,pearson,-0.6984630323718376,996
CS2_38,HF3,32,pearson,0.13741967038618816,996
CS2_38,HF4,32,pearson,0.8544885189665189,996
CS2_38,HF5,32,pearson,0.778499377518449,996
CS2_38,HF6,32,pearson,0.6415983875518662,996
CS2_38,HF7,32,pearson,0.9545646150620346,996
CS2_38,HF8,32,pearson,-0.7567042981894362,996
CS2_38,SOH,48,pearson,0.9282432222853962,980
CS2_38,HF1,48,pearson,0.9533639019807699,980
CS2_38,HF2,48,pearson,-0.6802694943465656,980
CS2_38,HF3,48,pearson,0.10538420964435904,980
CS2_38,HF4,48,pearson,0.7868803387633789,980
CS2_38,HF5,48,pearson,0.6946688590311568,980
CS2_38,HF6,48,pearson,0.5705986537990358,980
CS2_38,HF7,48,pearson,0.953132611238627,980
CS2_38,HF8,48,pearson,-0.741000624468265,980
CS2_38,SOH,64,pearson,0.9224048829066517,964
CS2_38,HF1,64,pearson,0.946300857777912,964
CS2_38,HF2,64,pearson,-0.6742080640552577,964
CS2_38,HF3,64,pearson,0.124434993685072,964
CS2_38,HF4,64,pearson,0.7831386758259792,964
CS2_38,HF5,64,pearson,0.6938139673923218,964
CS2_38,HF6,64,pearson,0.5660926469417729,964
CS2_38,HF7,64,pearson,0.9460565508918684,964
CS2_38,HF8,64,pearson,-0.7376885081940118,964
