battery,state_definition,state,horizon,feature_group,mae_full,mae_without,lofo_value,n_state_samples,reliable,rank
CS2_37,degradation_dynamics,Medium,1,Group_DischargeIC,0.007851206831967918,0.008111980464036774,0.0002607736320688562,289,True,2.0
CS2_37,degradation_dynamics,Fast,1,Group_CC,0.013144920831155864,0.013868417388955856,0.0007234965577999925,313,True,1.0
CS2_37,degradation_dynamics,Fast,1,Group_CV,0.013144920831155864,0.01307627455224579,-6.864627891007419e-05,313,True,4.0
CS2_37,degradation_dynamics,Fast,1,Group_EnergyEfficiency,0.013144920831155864,0.013375559546882547,0.0002306387157266828,313,True,2.0
CS2_37,degradation_dynamics,Fast,1,Group_DischargeIC,0.013144920831155864,0.013192164469404612,4.724363824874789e-05,313,True,3.0
CS2_38,degradation_dynamics,Slow,1,Group_CC,0.016992232734661793,0.018017476716584796,0.0010252439819230033,289,True,1.0
CS2_38,degradation_dynamics,Slow,1,Group_CV,0.016992232734661793,0.017616015480978672,0.0006237827463168796,289,True,3.0
CS2_38,degradation_dynamics,Slow,1,Group_EnergyEfficiency,0.016992232734661793,0.017623276322590045,0.0006310435879282525,289,True,2.0
CS2_38,degradation_dynamics,Slow,1,Group_DischargeIC,0.016992232734661793,0.017465445030351412,0.00047321229568961926,289,True,4.0
CS2_38,degradation_dynamics,Medium,1,Group_CC,0.011349855096096468,0.011967824495248115,0.000617969399151647,265,True,1.0
CS2_38,degradation_dynamics,Medium,1,Group_CV,0.011349855096096468,0.01159344476225454,0.00024358966615807207,265,True,3.0
CS2_38,degradation_dynamics,Medium,1,Group_EnergyEfficiency,0.011349855096096468,0.011575587598598053,0.0002257325025015848,265,True,4.0
CS2_38,degradation_dynamics,Medium,1,Group_DischargeIC,0.011349855096096468,0.011811994477101777,0.0004621393810053092,265,True,2.0
CS2_38,degradation_dynamics,Fast,1,Group_CC,0.013404325005332495,0.01433796372744144,0.0009336387221089461,303,True,1.0
CS2_38,degradation_dynamics,Fast,1,Group_CV,0.013404325005332495,0.01375550098413781,0.000351175978805315,303,True,3.0
CS2_38,degradation_dynamics,Fast,1,Group_EnergyEfficiency,0.013404325005332495,0.01399639955525584,0.0005920745499233444,303,True,2.0
CS2_38,degradation_dynamics,Fast,1,Group_DischargeIC,0.013404325005332495,0.013351530498102454,-5.279450723004106e-05,303,True,4.0
CS2_35,degradation_dynamics,Slow,4,Group_CC,0.014432332158294536,0.015228103956564515,0.0007957717982699786,265,True,1.0
CS2_35,degradation_dynamics,Slow,4,Group_CV,0.014432332158294536,0.014392489891207822,-3.984226708671386e-05,265,True,4.0
CS2_35,degradation_dynamics,Slow,4,Group_EnergyEfficiency,0.014432332158294536,0.014883643881970833,0.0004513117236762971,265,True,2.0
CS2_35,degradation_dynamics,Slow,4,Group_DischargeIC,0.014432332158294536,0.014720755473399155,0.00028842331510461894,265,True,3.0
CS2_35,degradation_dynamics,Medium,4,Group_CC,0.008768639716387716,0.009185032910140917,0.00041639319375320026,214,True,1.0
CS2_35,degradation_dynamics,Medium,4,Group_CV,0.008768639716387716,0.008706906037316952,-6.173367907076448e-05,214,True,4.0
CS2_35,degradation_dynamics,Medium,4,Group_EnergyEfficiency,0.008768639716387716,0.008969663037533682,0.00020102332114596555,214,True,3.0
CS2_35,degradation_dynamics,Medium,4,Group_DischargeIC,0.008768639716387716,0.009135700991178369,0.00036706127479065216,214,True,2.0
CS2_35,degradation_dynamics,Fast,4,Group_CC,0.011802227707300696,0.012458162945949687,0.000655935238648991,229,True,1.0
CS2_35,degradation_dynamics,Fast,4,Group_CV,0.011802227707300696,0.011725145878294966,-7.708182900573006e-05,229,True,4.0
CS2_35,degradation_dynamics,Fast,4,Group_EnergyEfficiency,0.011802227707300696,0.012218929832895518,0.00041670212559482243,229,True,2.0
CS2_35,degradation_dynamics,Fast,4,Group_DischargeIC,0.011802227707300696,0.011817474748064036,1.5247040763340103e-05,229,True,3.0
CS2_36,degradation_dynamics,Slow,4,Group_CC,0.01765658289055399,0.01833019858642613,0.0006736156958721401,244,True,1.0
CS2_36,degradation_dynamics,Slow,4,Group_CV,0.01765658289055399,0.017686254961479266,2.967207092527749e-05,244,True,3.0
CS2_36,degradation_dynamics,Slow,4,Group_EnergyEfficiency,0.01765658289055399,0.01790454837679132,0.00024796548623733095,244,True,2.0
CS2_36,degradation_dynamics,Slow,4,Group_DischargeIC,0.01765658289055399,0.017546348165691318,-0.00011023472486267061,244,True,4.0
CS2_36,degradation_dynamics,Medium,4,Group_CC,0.01416010881780165,0.014453252523520197,0.000293143705718547,233,True,1.0
CS2_36,degradation_dynamics,Medium,4,Group_CV,0.01416010881780165,0.014130931618831635,-2.9177198970015833e-05,233,True,4.0
CS2_36,degradation_dynamics,Medium,4,Group_EnergyEfficiency,0.01416010881780165,0.014235948763480517,7.583994567886623e-05,233,True,2.0
CS2_36,degradation_dynamics,Medium,4,Group_DischargeIC,0.01416010881780165,0.014171851066174718,1.1742248373067254e-05,233,True,3.0
CS2_36,degradation_dynamics,Fast,4,Group_CC,0.019413690654894775,0.02030263506949441,0.000888944414599635,354,True,1.0
CS2_36,degradation_dynamics,Fast,4,Group_CV,0.019413690654894775,0.01945940969681013,4.571904191535622e-05,354,True,3.0
CS2_36,degradation_dynamics,Fast,4,Group_EnergyEfficiency,0.019413690654894775,0.01999045606751779,0.0005767654126230155,354,True,2.0
CS2_36,degradation_dynamics,Fast,4,Group_DischargeIC,0.019413690654894775,0.0193430128528517,-7.067780204307594e-05,354,True,4.0
CS2_37,degradation_dynamics,Slow,4,Group_CC,0.01463603252012827,0.015179072382191787,0.0005430398620635164,228,True,1.0
