battery,feature,horizon,metric,value,rmse,alpha,history_length,n_test
CS2_36,B_HF456_median_indicators,4,MAE,0.016294400660868277,0.053200817560843924,1.0,1,969
CS2_36,B_HF456_median_indicators,4,MAE,0.016283906616511898,0.05321335004140075,10.0,1,969
CS2_36,B_HF456_median_indicators,4,MAE,0.017217217454985452,0.05344180505511127,100.0,1,969
CS2_37,B_HF456_median_indicators,4,MAE,0.014882849265690092,0.04002291569156209,0.01,1,1034
CS2_37,B_HF456_median_indicators,4,MAE,0.01480584256038607,0.03999622919228989,0.1,1,1034
CS2_37,B_HF456_median_indicators,4,MAE,0.014798725307576498,0.03999947894538412,1.0,1,1034
CS2_37,B_HF456_median_indicators,4,MAE,0.014882752543123288,0.040020138805589085,10.0,1,1034
CS2_37,B_HF456_median_indicators,4,MAE,0.015767786509697936,0.04033947959688415,100.0,1,1034
CS2_38,B_HF456_median_indicators,4,MAE,0.015328458926463978,0.04598140461707472,0.01,1,1024
CS2_38,B_HF456_median_indicators,4,MAE,0.014858907250320418,0.0456422465541371,0.1,1,1024
CS2_38,B_HF456_median_indicators,4,MAE,0.014784514571896189,0.04553359007406245,1.0,1,1024
CS2_38,B_HF456_median_indicators,4,MAE,0.014873855364961048,0.04551539037064421,10.0,1,1024
CS2_38,B_HF456_median_indicators,4,MAE,0.016584049774587127,0.045980160733960024,100.0,1,1024
CS2_35,B_missing_mask_only,4,MAE,0.016486945983327558,0.0337771879362763,0.01,1,878
CS2_35,B_missing_mask_only,4,MAE,0.016488269109528594,0.03377802900496213,0.1,1,878
CS2_35,B_missing_mask_only,4,MAE,0.016501866099912423,0.03378649802478475,1.0,1,878
CS2_35,B_missing_mask_only,4,MAE,0.01664763519352268,0.033876907479926874,10.0,1,878
CS2_35,B_missing_mask_only,4,MAE,0.018619017641654488,0.035248929730255306,100.0,1,878
CS2_36,B_missing_mask_only,4,MAE,0.01951519945721387,0.0655799829143149,0.01,1,969
CS2_36,B_missing_mask_only,4,MAE,0.01951826373062804,0.06557989074434303,0.1,1,969
CS2_36,B_missing_mask_only,4,MAE,0.019549588296797683,0.06557905923846163,1.0,1,969
CS2_36,B_missing_mask_only,4,MAE,0.019891560985794865,0.06557867947844018,10.0,1,969
CS2_36,B_missing_mask_only,4,MAE,0.02415987077128947,0.06623822944735594,100.0,1,969
CS2_37,B_missing_mask_only,4,MAE,0.017631933112302073,0.05032342737968354,0.01,1,1034
CS2_37,B_missing_mask_only,4,MAE,0.01763445533918834,0.05032359975231412,0.1,1,1034
CS2_37,B_missing_mask_only,4,MAE,0.017660130207041116,0.05032533752907926,1.0,1,1034
