battery,horizon_1,horizon_2,metric,value
CS2_38,32,4,kendall_tau,0.7857142857142856
CS2_38,32,8,kendall_tau,0.7857142857142856
CS2_38,32,12,kendall_tau,0.9999999999999998
CS2_38,32,16,kendall_tau,0.7857142857142856
CS2_38,32,24,kendall_tau,0.6428571428571428
CS2_38,32,32,kendall_tau,0.9999999999999998
CS2_38,32,48,kendall_tau,0.7142857142857142
CS2_38,32,64,kendall_tau,0.8571428571428571
CS2_38,48,1,kendall_tau,0.2857142857142857
CS2_38,48,4,kendall_tau,0.4999999999999999
CS2_38,48,8,kendall_tau,0.6428571428571428
CS2_38,48,12,kendall_tau,0.7142857142857142
CS2_38,48,16,kendall_tau,0.4999999999999999
CS2_38,48,24,kendall_tau,0.4999999999999999
CS2_38,48,32,kendall_tau,0.7142857142857142
CS2_38,48,48,kendall_tau,0.9999999999999998
CS2_38,48,64,kendall_tau,0.8571428571428571
CS2_38,64,1,kendall_tau,0.2857142857142857
CS2_38,64,4,kendall_tau,0.6428571428571428
CS2_38,64,8,kendall_tau,0.6428571428571428
CS2_38,64,12,kendall_tau,0.8571428571428571
CS2_38,64,16,kendall_tau,0.6428571428571428
CS2_38,64,24,kendall_tau,0.4999999999999999
CS2_38,64,32,kendall_tau,0.8571428571428571
CS2_38,64,48,kendall_tau,0.8571428571428571
CS2_38,64,64,kendall_tau,0.9999999999999998
