battery,feature,horizon,metric,value,n_effective,support_rule,abs_partial,delta_abs_from_h1
CS2_38,HF5,12,pearson_partial_controlling_SOH,-0.11218760373459556,548,feature_common,0.11218760373459556,0.09782027044117865
CS2_38,HF6,12,pearson_partial_controlling_SOH,-0.1676451215723495,548,feature_common,0.1676451215723495,0.1431279510114557
CS2_38,HF5,16,pearson_partial_controlling_SOH,-0.08388636854521406,547,feature_common,0.08388636854521406,0.06951903525179715
CS2_38,HF6,16,pearson_partial_controlling_SOH,-0.12850693479386138,547,feature_common,0.12850693479386138,0.10398976423296757
CS2_38,HF5,24,pearson_partial_controlling_SOH,-0.09967876409079028,547,feature_common,0.09967876409079028,0.08531143079737337
CS2_38,HF6,24,pearson_partial_controlling_SOH,-0.12997415118449318,547,feature_common,0.12997415118449318,0.10545698062359937
CS2_38,HF5,32,pearson_partial_controlling_SOH,-0.12451126196491567,547,feature_common,0.12451126196491567,0.11014392867149876
CS2_38,HF6,32,pearson_partial_controlling_SOH,-0.18224904838477843,547,feature_common,0.18224904838477843,0.15773187782388462
CS2_38,HF5,48,pearson_partial_controlling_SOH,-0.2076842490226502,547,feature_common,0.2076842490226502,0.1933169157292333
CS2_38,HF6,48,pearson_partial_controlling_SOH,-0.20503036777136854,547,feature_common,0.20503036777136854,0.18051319721047474
CS2_38,HF5,64,pearson_partial_controlling_SOH,-0.18325684715980256,548,feature_common,0.18325684715980256,0.16888951386638565
CS2_38,HF6,64,pearson_partial_controlling_SOH,-0.20009916317371942,548,feature_common,0.20009916317371942,0.17558199261282562
CS2_35,HF5,1,pearson_partial_controlling_SOH,-0.027057270386101364,551,double_common,0.027057270386101364,0.0
CS2_35,HF6,1,pearson_partial_controlling_SOH,-0.0905509585509707,551,double_common,0.0905509585509707,0.0
CS2_35,HF5,4,pearson_partial_controlling_SOH,-0.19013521561861302,551,double_common,0.19013521561861302,0.16307794523251165
CS2_35,HF6,4,pearson_partial_controlling_SOH,-0.13571795284203314,551,double_common,0.13571795284203314,0.04516699429106244
CS2_35,HF5,8,pearson_partial_controlling_SOH,-0.05641868579034187,551,double_common,0.05641868579034187,0.029361415404240507
CS2_35,HF6,8,pearson_partial_controlling_SOH,-0.08770887269144957,551,double_common,0.08770887269144957,-0.002842085859521129
