battery,feature,horizon,metric,value,rmse,alpha,history_length,n_test
CS2_38,current_SOH_currentHF,24,MAE,0.02004928965860911,0.04768722783601973,1.0,1,1004
CS2_38,current_SOH_currentHF,24,MAE,0.020180501953654856,0.04774071977233769,10.0,1,1004
CS2_38,current_SOH_currentHF,24,MAE,0.021154688503259512,0.04818755089158175,100.0,1,1004
CS2_35,history_L8,24,MAE,0.02177003284965031,0.03404058613907252,0.01,8,851
CS2_35,history_L8,24,MAE,0.021770157399720675,0.034040747992629156,0.1,8,851
CS2_35,history_L8,24,MAE,0.021771408988699142,0.03404236634415411,1.0,8,851
CS2_35,history_L8,24,MAE,0.0217844255648597,0.03405853140898065,10.0,8,851
CS2_35,history_L8,24,MAE,0.02191752350116242,0.03421953387790864,100.0,8,851
CS2_36,history_L8,24,MAE,0.025542600498055967,0.05582731133102081,0.01,8,942
CS2_36,history_L8,24,MAE,0.025542476966157537,0.05582710534866496,0.1,8,942
CS2_36,history_L8,24,MAE,0.025541239863661528,0.05582505339700362,1.0,8,942
CS2_36,history_L8,24,MAE,0.025528702712147442,0.05580525231789009,10.0,8,942
CS2_36,history_L8,24,MAE,0.025400866151724086,0.05564522268966275,100.0,8,942
CS2_37,history_L8,24,MAE,0.02213471699814877,0.042417370477371784,0.01,8,1007
CS2_37,history_L8,24,MAE,0.022134800385498112,0.04241732555158946,0.1,8,1007
CS2_37,history_L8,24,MAE,0.022135629519269086,0.04241688407324984,1.0,8,1007
CS2_37,history_L8,24,MAE,0.02214352767292306,0.04241318328853923,10.0,8,1007
CS2_37,history_L8,24,MAE,0.02220291676342229,0.0424151608671286,100.0,8,1007
CS2_38,history_L8,24,MAE,0.021612417609057678,0.04638144720679582,0.01,8,997
CS2_38,history_L8,24,MAE,0.021612532150608803,0.04638136715144685,0.1,8,997
CS2_38,history_L8,24,MAE,0.021613679326627975,0.04638058426009185,1.0,8,997
CS2_38,history_L8,24,MAE,0.021627509657328126,0.04637432652109448,10.0,8,997
CS2_38,history_L8,24,MAE,0.021794268335116856,0.04638131172985124,100.0,8,997
CS2_35,history_L16,24,MAE,0.021315506873116615,0.03350509576995237,0.01,16,843
CS2_35,history_L16,24,MAE,0.021315638817240693,0.033505267655726666,0.1,16,843
CS2_35,history_L16,24,MAE,0.021316964230295873,0.033506986681203305,1.0,16,843
CS2_35,history_L16,24,MAE,0.021329852958152345,0.03352416406357369,10.0,16,843
CS2_35,history_L16,24,MAE,0.02144614436797887,0.03368359689340122,100.0,16,843
CS2_36,history_L16,24,MAE,0.025266134575030866,0.05534447361150063,0.01,16,934
CS2_36,history_L16,24,MAE,0.025266108042374214,0.05534431037608768,0.1,16,934
CS2_36,history_L16,24,MAE,0.025265839462857046,0.05534269288559727,1.0,16,934
CS2_36,history_L16,24,MAE,0.02526344749588813,0.05532785995245853,10.0,16,934
CS2_36,history_L16,24,MAE,0.02524149745656549,0.05523997408304197,100.0,16,934
CS2_37,history_L16,24,MAE,0.021601493228524317,0.04150990366275061,0.01,16,999
CS2_37,history_L16,24,MAE,0.021601585839282903,0.041509770639667536,0.1,16,999
CS2_37,history_L16,24,MAE,0.021602507301548203,0.0415084603075198,1.0,16,999
CS2_37,history_L16,24,MAE,0.02161173798104916,0.04149716796221175,10.0,16,999
CS2_37,history_L16,24,MAE,0.02170317301130732,0.041471584628502506,100.0,16,999
CS2_38,history_L16,24,MAE,0.02078241887517166,0.045779594370824024,0.01,16,989
CS2_38,history_L16,24,MAE,0.020782570723961398,0.04577953039585705,0.1,16,989
CS2_38,history_L16,24,MAE,0.020784086277551548,0.045778914772551915,1.0,16,989
CS2_38,history_L16,24,MAE,0.020799627389473406,0.04577487126400155,10.0,16,989
CS2_38,history_L16,24,MAE,0.020960890757987027,0.04581278937918075,100.0,16,989
CS2_35,history_L32,24,MAE,0.020842503759435846,0.033168755957699435,0.01,32,827
CS2_35,history_L32,24,MAE,0.020842782568867717,0.03316900835493991,0.1,32,827
CS2_35,history_L32,24,MAE,0.020845559170708416,0.03317153345185197,1.0,32,827
CS2_35,history_L32,24,MAE,0.0208734419753079,0.03319682927705847,10.0,32,827
CS2_35,history_L32,24,MAE,0.02109968537454944,0.03342646088696849,100.0,32,827
CS2_36,history_L32,24,MAE,0.024564664589876897,0.0551245207275058,0.01,32,918
CS2_36,history_L32,24,MAE,0.02456473371580029,0.055124418047077024,0.1,32,918
CS2_36,history_L32,24,MAE,0.024565419055231644,0.05512341153187354,1.0,32,918
CS2_36,history_L32,24,MAE,0.02457272326376621,0.05511516747589257,10.0,32,918
CS2_36,history_L32,24,MAE,0.024634557136276245,0.05510919211637842,100.0,32,918
CS2_37,history_L32,24,MAE,0.02084658879254199,0.040670372200024375,0.01,32,983
CS2_37,history_L32,24,MAE,0.02084674853113111,0.040670166445895065,0.1,32,983
CS2_37,history_L32,24,MAE,0.02084833800230212,0.04066813811218412,1.0,32,983
CS2_37,history_L32,24,MAE,0.020865854497184904,0.0406505202076467,10.0,32,983
CS2_37,history_L32,24,MAE,0.021022188392098594,0.040604819508488876,100.0,32,983
CS2_38,history_L32,24,MAE,0.020516427083859638,0.04540035040493182,0.01,32,973
CS2_38,history_L32,24,MAE,0.020516559666431785,0.0454001048015866,0.1,32,973
CS2_38,history_L32,24,MAE,0.020517886276542937,0.04539769830940693,1.0,32,973
CS2_38,history_L32,24,MAE,0.020532140611564876,0.04537804031576572,10.0,32,973
CS2_38,history_L32,24,MAE,0.020734623233004543,0.045364891154010094,100.0,32,973
CS2_35,history_L32_currentHF,24,MAE,0.02022771319195142,0.033224280932297304,0.01,32,827
CS2_35,history_L32_currentHF,24,MAE,0.02017386038411452,0.03325669415362101,0.1,32,827
CS2_35,history_L32_currentHF,24,MAE,0.020149708149759037,0.033264198264265486,1.0,32,827
CS2_35,history_L32_currentHF,24,MAE,0.020158377982636592,0.03315318088203309,10.0,32,827
CS2_35,history_L32_currentHF,24,MAE,0.020372506990252396,0.03296924425902904,100.0,32,827
