battery,feature,horizon,metric,value,mae_without,mae_full,model_context,alpha,n_test,rank
CS2_35,Group_CC,32,MAE_minus_full,0.002329585624949445,0.027039024468232354,0.02470943884328291,current_SOH,1.0,850,1.0
CS2_35,Group_CV,32,MAE_minus_full,5.3227520273070594e-06,0.024714761595310216,0.02470943884328291,current_SOH,1.0,850,4.0
CS2_35,Group_EnergyEfficiency,32,MAE_minus_full,0.0005793290280149133,0.025288767871297822,0.02470943884328291,current_SOH,1.0,850,3.0
CS2_35,Group_DischargeIC,32,MAE_minus_full,0.0010617286285936785,0.025771167471876587,0.02470943884328291,current_SOH,1.0,850,2.0
CS2_36,Group_CC,32,MAE_minus_full,0.0024385443069245734,0.027560674720184673,0.0251221304132601,current_SOH,1.0,941,1.0
CS2_36,Group_CV,32,MAE_minus_full,-5.794142076409603e-06,0.02511633627118369,0.0251221304132601,current_SOH,1.0,941,4.0
CS2_36,Group_EnergyEfficiency,32,MAE_minus_full,0.0008053915776988357,0.025927521990958935,0.0251221304132601,current_SOH,1.0,941,3.0
CS2_36,Group_DischargeIC,32,MAE_minus_full,0.0008400474090562542,0.025962177822316353,0.0251221304132601,current_SOH,1.0,941,2.0
CS2_37,Group_CC,32,MAE_minus_full,0.002961645657730279,0.027090898958984345,0.024129253301254067,current_SOH,1.0,1006,1.0
CS2_37,Group_CV,32,MAE_minus_full,-0.00025628667826757545,0.02387296662298649,0.024129253301254067,current_SOH,1.0,1006,4.0
CS2_37,Group_EnergyEfficiency,32,MAE_minus_full,0.0003603654415104511,0.024489618742764518,0.024129253301254067,current_SOH,1.0,1006,2.0
CS2_37,Group_DischargeIC,32,MAE_minus_full,-0.00011047507477315172,0.024018778226480915,0.024129253301254067,current_SOH,1.0,1006,3.0
CS2_38,Group_CC,32,MAE_minus_full,0.005836657470557317,0.027979061665642475,0.022142404195085157,current_SOH,1.0,996,1.0
CS2_38,Group_CV,32,MAE_minus_full,0.0009673725771749304,0.023109776772260088,0.022142404195085157,current_SOH,1.0,996,4.0
CS2_38,Group_EnergyEfficiency,32,MAE_minus_full,0.0018837427152600707,0.024026146910345228,0.022142404195085157,current_SOH,1.0,996,2.0
CS2_38,Group_DischargeIC,32,MAE_minus_full,0.0010894778543844644,0.02323188204946962,0.022142404195085157,current_SOH,1.0,996,3.0
CS2_35,Group_CC,48,MAE_minus_full,0.0025131976695056298,0.029651318944416062,0.027138121274910432,current_SOH,1.0,834,1.0
CS2_35,Group_CV,48,MAE_minus_full,-0.00024031805793274866,0.026897803216977684,0.027138121274910432,current_SOH,1.0,834,4.0
CS2_35,Group_EnergyEfficiency,48,MAE_minus_full,0.0006170919504351925,0.027755213225345625,0.027138121274910432,current_SOH,1.0,834,3.0
CS2_35,Group_DischargeIC,48,MAE_minus_full,0.0015852071304387622,0.028723328405349195,0.027138121274910432,current_SOH,1.0,834,2.0
CS2_36,Group_CC,48,MAE_minus_full,0.002887863424398514,0.03053529739981907,0.027647433975420556,current_SOH,1.0,925,1.0
CS2_36,Group_CV,48,MAE_minus_full,-0.00024923175159839717,0.02739820222382216,0.027647433975420556,current_SOH,1.0,925,4.0
CS2_36,Group_EnergyEfficiency,48,MAE_minus_full,0.0005962353259418469,0.028243669301362403,0.027647433975420556,current_SOH,1.0,925,2.0
CS2_36,Group_DischargeIC,48,MAE_minus_full,0.0002736894008857245,0.02792112337630628,0.027647433975420556,current_SOH,1.0,925,3.0
CS2_37,Group_CC,48,MAE_minus_full,0.003696715459276058,0.02944691076661943,0.025750195307343373,current_SOH,1.0,990,1.0
CS2_37,Group_CV,48,MAE_minus_full,0.00024626439084141777,0.02599645969818479,0.025750195307343373,current_SOH,1.0,990,3.0
